artist,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2022 January
大貫妙子,,,,,,,1,,
Yes,,,,,,,1,,
竹内まりや,,,,,,,1,,
Makoto Matsushita,,,,,,,3,,
fhána,,,,,,,1,,
Dolly Parton,,,,,,,1,,
Yameii Online,,,,,,,2,,
Helen Love,,,,,14,15,21,,
The Free Design,,,,,33,34,38,,
Round Table featuring Nino,,,,,,1,2,,
Plumtree,,,,,,,15,,
Le Mans,,,,,,,1,,
808 State,,,,,,,41,,
Westside Gunn,,,,,,,1,,
Cloud Rat,,,,,,,2,,
Rico Nasty,,,,,,,1,,
Attacca Quartet,,,,,,,1,,
Microwave,,,,,,,1,,
Nothing But Thieves,,,,,,,1,,
A.C.E,,,,,,,1,,
Martyrdöd,,,,,,,1,,
Ize,,,,,,,3,,
The Bug,,,,,,,1,,
Denzel Curry,,,,1,,,2,,
Knocked Loose,,,,,,,1,,
Dog Faced Hermans,,,,,,,2,,
White Lung,,,,,,,27,,
The 6ths,,,,,,,28,,
Trash Talk,,,,,,,15,,
Tomboy,,,,,,,1,,
Aaron Carter,,,,,,1,2,,
Winger,,,,,,,1,,
Toy-Box,,,,,,,1,,
S Club 7,,,,,,,1,,
will.i.am,,,,,,,1,,
Avril Lavigne,,,,,,,1,,
Index,,,,,32,,35,,
Cibo Matto,31,45,51,59,81,82,86,,
Leslie Winer,,,,,,,1,,
My Bloody Valentine,,,,,,2,12,,
my bloody valentine,,,,,,,1,,
Vashti Bunyan,,,,,,,17,,
Echelons aka Unable To Fully Embrace This Happiness,,,,,,,1,,
Sibylle Baier,,,,,,,2,,
Big Star,,,,22,47,52,54,,
Mayo Thompson,,,,,,,1,,
Los Planetas,,9,,,,,11,,
Guided by Voices,55,87,93,,,,94,,
Françoise Hardy,,,,,,2,6,,
Brigitte Bardot,,,,,,,1,,
Robert Johnson,,,,,,,1,,
The Monks,,,,,12,,13,,
Talons',,,,12,,,13,,
Deutsch Amerikanische Freundschaft,,,9,,298,422,441,,
Cam'ron,,,20,32,,33,37,,
Monolake,2,,,,,,7,,
Oblivians,90,,,95,104,136,137,,
Medicine,,,,,,,4,,
Charli XCX,,,4,20,21,25,28,,
Tkay Maidza,,4,,,,,8,,
The Sugarcubes,,,,,,,21,,
Jacobites,,,,,,,24,,
Lil Ugly Mane,3,,,4,,7,26,,
The Olivia Tremor Control,29,,,,,31,58,,
Nas,,,,,,,11,,
The Dream Syndicate,18,,,33,44,,53,,
Swirlies,20,,,,23,,58,,
長沼英樹,,,,,1,3,4,,
Eternal,,,,,,,3,,
Tommy Wright III,2,,6,,25,,26,,
Suicide,,,,10,21,28,39,,
Siouxsie and the Banshees,13,,24,53,140,164,177,,
Limp Bizkit,,,,,1,2,,,
Pusha T,,,,,,7,,,
Cher Lloyd,,,,,,1,,,
Katy Perry,,,,2,,3,,,
Jordin Sparks,,,,,,1,,,
Soft Cell,,,,,,3,,,
The dB's,,,,,,1,,,
Joy Division,2,,,6,16,21,,,
Talking Heads,,1,2,44,,52,,,
Manila Luzon,,,,,,3,,,
Jinkx Monsoon,,,,,,2,,,
Hello Saferide,,,,,,4,,,
Christina Aguilera,,,,1,,2,,,
Bad Brains,,,,,,34,,,
Momus,,,,,,1,,,
Patricia Taxxon,,,,,,14,,,
Iron Maiden,,,,4,44,46,,,
Next,,,,,1,2,,,
Orchestral Manoeuvres in the Dark,2,,9,67,69,71,,,
The xx,,,,,,1,,,
Billie Eilish,1,5,8,10,,11,,,
Jason Donovan,,,,,,1,,,
Venetian Snares,,,,,,1,,,
Sidney Gish,,,,,,4,,,
Orianthi,,,,,,1,,,
The Innocence Mission,,,,,,9,,,
The Lucksmiths,,,,,,1,,,
The Motifs,,,,,1,3,,,
Rufus Wainwright,,,,,,1,,,
The Softies,,,,,,2,,,
Hope,,,,,,1,,,
Sparks,,,,,,92,,,
TLC,,,,,3,4,,,
Edan,,1,,5,,8,,,
Ultramagnetic MC's,3,,,,,4,,,
Divine Force,,,,,,1,,,
Kool G Rap & DJ Polo,,,,,,1,,,
Public Enemy,,,,,,1,,,
the 45 king & lakim shabazz,,,,,,1,,,
Izzy Ice & Majesty,,,,,,1,,,
Eric B. & Rakim,,,,,,1,,,
Sir Fresh & DJ Critical,,,,,,1,,,
Father MC,,,,,,1,,,
Kurtis Blow & Grandmaster Flash,,,,,,1,,,
Grandmaster Flash and The Furious Five,,,,,,1,,,
LOONA/yyxy,,,,,,5,,,
Broken Social Scene,,,,,,1,,,
苏芮琪,,,,,,1,,,
Lizzy Mercier Descloux,,,,,,19,,,
LOOΠΔ,,,,,,1,,,
Brand New,,,,,,1,,,
LOOΠΔ 1/3,,,,,,7,,,
Meat Puppets,,,,,,7,,,
Wipers,,30,36,49,,97,,,
川村ゆみ,,,,,,3,,,
Justin Timberlake,,,,2,,6,,,
Gnarls Barkley,,,,,,1,,,
Arctic Monkeys,,,,,,1,,,
平沢進,,,,,,1,,,
Clipse,,,,,,1,,,
Asobi Seksu,,,,,3,8,,,
Twa Toots,,,1,2,,4,,,
Gang Starr,2,7,8,9,10,11,,,
Mina,,,,,,1,,,
Katie Jane Garside,,,,9,10,17,,,
Duster,,,1,,9,13,,,
Coldplay,,,,3,,4,,,
Sweet Trip,14,,,,26,27,,,
Leonard Cohen,,,,,,1,,,
Aphex Twin,16,,,,,17,,,
Battles,,,,,,1,,,
Mercury Rev,,,,,10,11,,,
Van Morrison,,,,,,1,,,
The Jetzons,,,,,,1,,,
The Music Explosion,,,,,,1,,,
Team Dresch,13,,,,,20,,,
Misha,,,,,,6,,,
INU,,,,,,2,,,
Greet Death,,,,,,1,,,
Air,,,,,1,2,,,
Gogol Bordello,,,,,,2,,,
After School,,,,,,1,,,
Rocket Punch,,,,,,1,,,
Carpenter Brut,,,,,,1,,,
Death Grips,,,1,,,2,,,
Hozier,,,,,,1,,,
Boris,,19,40,93,114,115,,,
Erasure,,,,,,1,,,
Book of Love,,,,,,1,,,
Phoebe Bridgers,1,,,,,2,,,
Atari Teenage Riot,,,,,,1,,,
Vulfpeck,,,,,,1,,,
Calvin Harris,,,,,1,2,,,
Eartheater,,,,,4,5,,,
For Those I Love,,,,,,1,,,
Farewell,,,,,,1,,,
Sophie,,,,,1,2,,,
Cory Wong,,,,,,1,,,
Machine Girl,,,4,,,5,,,
CHVRCHES,,8,,,,9,,,
Igorrr,,,,,,1,,,
SEGA Sound Team,43,,,,,49,,,
Neon Indian,,,,,,19,,,
The Stranglers,,,,,3,7,,,
The Blood Brothers,,,,,,1,,,
Omarion,,,,,,2,,,
The Blue Nile,,,,,,1,,,
THE MAD CAPSULE MARKETS,,,,,15,16,,,
Pokémon,,,,,,1,,,
Junichi Masuda,,,66,117,197,198,,,
Robin Beanland,,,,,,1,,,
Bring Me the Horizon,,,,,,33,,,
Dr. John,,,,,,1,,,
Chelsea Wolfe,,,,,,2,,,
The Soft Moon,,,,,,8,,,
blessthefall,,,,,,7,,,
Get Scared,,,,,,1,,,
nickasaur!,,,,,,1,,,
As I Lay Dying,,,,,,1,,,
Kim Petras,,,,,,8,,,
Hisham El Hajj,,,,,,1,,,
Akira Yamaoka,,,,,,1,,,
Brokencyde,,,,,,1,,,
Sleeping With Sirens,,,,,,1,,,
Falling in Reverse,,,,,,2,,,
Pierce the Veil,,,,,,6,,,
A Day to Remember,,,,,,1,,,
Dot Dot Curve :),,,,,,3,,,
Attack Attack!,,,,,,2,,,
Escape the Fate,,,,,,17,,,
Cute Is What We Aim For,,,,,,1,,,
Alesana,,,,8,,12,,,
Bauhaus,9,,16,31,60,64,,,
Darkthrone,,,,,,1,,,
Dissection,,,,,,4,,,
Ulver,,8,,,10,13,,,
Melvins,,,,,,1,,,
Incantation,,,,,,2,,,
In Flames,,,,,,2,,,
Dismember,,,,,,1,,,
Mayhem,,,,,,1,,,
Emperor,,,,,,1,,,
Pentagram,,,,,,2,,,
Witchfinder General,,,,,,1,,,
Pagan Altar,,,,,,1,,,
Neurosis,,,,,,2,,,
Acid Bath,,,,,,1,,,
Sky Ferreira,,,,,3,6,,,
PURPLE KISS,,,,,,2,,,
Danity Kane,,,,,,1,,,
Nao,,,,,,14,,,
Doja Cat,,,,,2,3,,,
Soulja Boy,,,,,,1,,,
Japan,,,,,,10,,,
Crystal Waters,,,,,,1,,,
Ce Ce Peniston,,,,,,1,,,
Cathy Dennis,,,,,,3,,,
Deep Purple,,,,26,,27,,,
Electric Light Orchestra,,,,,,6,,,
ミドリ,,,,,,10,,,
Natalie Imbruglia,,,,,,1,,,
Patsy Cline,,,,,,2,,,
J. Holiday,,,,,,1,,,
Shania Twain,,,,,1,3,,,
Whitney Houston,,,,2,,4,,,
Jennifer Lopez,,,,,,1,,,
Ms. Lauryn Hill,,,,,,5,,,
Cher,,,,1,,3,,,
Deborah Cox,,,,,,1,,,
JoJo,,,,,,3,,,
Velocity Girl,,,,,,1,,,
The Sundays,,,,,,1,,,
Savage Garden,,,,,,1,,,
Daryl Hall & John Oates,,,,,,1,,,
NCT 127,,,,,,1,,,
Santana,,,,,,1,,,
Still Corners,,,,,,4,,,
Phantogram,,,,,,1,,,
박혜진 Park Hye Jin,,,,,,2,,,
Fergie,,,,,,5,,,
Elliott Smith,,,1,,22,46,,,
Lewis Capaldi,,,,,,1,,,
Frank Zappa,,,,,,1,,,
Hinder,,,,,,3,,,
Gummibär,,,,,,1,,,
Dhinchak Pooja,,,,,,1,,,
YBN Nahmir,,,,,,1,,,
The Shaggs,,,,,,1,,,
Alestorm,,,,,,1,,,
Lil Dicky,,,,,,1,,,
American Authors,,,,,,2,,,
Bryan Adams,,,,1,,2,,,
Pierce The Veil,,,,,,2,,,
Gwen Stefani,,,,,,1,,,
Danny Brown,,,1,,20,56,,,
Oppenheimer Analysis,,,,,,13,,,
The Knife,16,,,,29,40,,,
Jaylib,,,,,2,19,,,
Lights,,,,,28,39,,,
Earth,22,,,,29,,,,
Jedi Mind Tricks,,,,,25,,,,
Raekwon,,,,,17,,,,
Lilac Lungs,,,,,1,,,,
Raekwon feat. Ghostface Killah & Cappadonna,,,,,1,,,,
cLOUDDEAD,,,,,22,,,,
N.E.R.D,,,,,2,,,,
N*E*R*D,,,,,1,,,,
Gorilla Biscuits,,,,,3,,,,
Deep Puddle Dynamics,,,,,12,,,,
FOG,,,,,24,,,,
Digable Planets,13,,,,29,,,,
J Dilla,,46,48,53,85,,,,
ACO,,,,,10,,,,
Ne-Yo,,,,,1,,,,
deadmau5,,,,,1,,,,
Car Seat Headrest,,,,,1,,,,
Bee Gees,,,,,14,,,,
The Notwist,,,,,31,,,,
Slowdive,37,,,41,55,,,,
Exposé,,,,,2,,,,
Another Sunny Day,28,,,47,107,,,,
Macha,,,,,33,,,,
Storm and Stress,,,,2,3,,,,
R.E.M.,,,,,14,,,,
Teenage Jesus and the Jerks,,5,,,6,,,,
Janet,,,,,1,,,,
Killing Pixies,,,,,4,,,,
Sigur Rós,,,,,1,,,,
The Ropers,,,,,41,,,,
The Pains of Being Pure at Heart,,,,,16,,,,
ABBA,,,,,11,,,,
Broadcast,,,,,53,,,,
Gigi Masin,,,,,30,,,,
Kids See Ghosts,,,,,1,,,,
Yves Tumor,,,1,,2,,,,
Kero Kero Bonito,,,,,13,,,,
Have a Nice Life,,,,,2,,,,
MGMT,,,,,1,,,,
Fleet Foxes,,,,,2,,,,
John Coltrane,,,,,1,,,,
Portishead,,,,,2,,,,
Mid-Air Thief,,,,,2,,,,
Grouper,,,,,2,,,,
Playboi Carti,,,,,2,,,,
Julia Holter,,,,,1,,,,
Deerhunter,,,,,2,,,,
近藤浩治,,,,,2,,,,
Flying Lotus,,,,,2,,,,
JPEGMAFIA,,,,,2,,,,
The Congos,,,,,2,,,,
Angel Olsen,,,,,2,,,,
Deftones,,,,,2,,,,
Jorge Ben,,,2,,4,,,,
Tohru Aizawa Quartet,,,,,5,,,,
Charles Hayward,,,,,2,,,,
Raul Lovisoni,,,,,1,,,,
Blackhandpath,,,,,1,,,,
Kayoko Yoshizawa,,,,,10,,,,
Ariana Grande,,,,5,7,,,,
Laraaji,,,,,27,,,,
Woo,,,,,5,,,,
Kream,,,3,8,10,,,,
Insight Innovates,,,,,1,,,,
Alias,,,,,1,,,,
Johnny Dyani,,,,,1,,,,
Kid Creole And The Coconuts,,,,,2,,,,
